,ID,flag
0,8024137,1.0
1,8017684,1.0
2,8018629,1.0
3,8011517,1.0
4,8013317,1.0
5,8021190,1.0
6,8019449,1.0
7,8012806,1.0
8,8013253,1.0
9,8012499,1.0
10,8018845,1.0
11,8017084,1.0
12,8022310,1.0
13,8014294,1.0
14,8011031,1.0
15,8015208,1.0
16,8015795,1.0
17,8010016,1.0
18,8024797,1.0
19,8018126,1.0
20,8019334,1.0
21,8021196,1.0
22,8010651,1.0
23,8020453,1.0
24,8013937,1.0
25,8020923,1.0
26,8016702,1.0
27,8018068,1.0
28,8017695,1.0
29,8016247,1.0
30,8010911,1.0
31,8021088,1.0
32,8010810,1.0
33,8022738,1.0
34,8020839,1.0
35,8012400,1.0
36,8015880,1.0
37,8015174,1.0
38,8019232,1.0
39,8021554,1.0
40,8016243,1.0
41,8024555,1.0
42,8022482,1.0
43,8016140,1.0
44,8023822,1.0
45,8018860,1.0
46,8020438,1.0
47,8015568,1.0
48,8023323,1.0
49,8013778,1.0
50,8019796,1.0
51,8020939,1.0
52,8013859,1.0
53,8016303,1.0
54,8016200,1.0
55,8018468,1.0
56,8017417,1.0
57,8022386,1.0
58,8016723,1.0
59,8012579,1.0
60,8010947,1.0
61,8021611,1.0
62,8010271,1.0
63,8012544,1.0
64,8021076,1.0
65,8023314,1.0
66,8018574,1.0
67,8015901,1.0
68,8021514,1.0
69,8024223,1.0
70,8023949,1.0
71,8017766,1.0
72,8014209,1.0
73,8013111,1.0
74,8017798,1.0
75,8016910,1.0
76,8024139,1.0
77,8018551,1.0
78,8014564,1.0
79,8012765,1.0
80,8012832,1.0
81,8019908,1.0
82,8019680,1.0
83,8013652,1.0
84,8015437,1.0
85,8021487,1.0
86,8011770,1.0
87,8023429,1.0
88,8012886,1.0
89,8022669,1.0
90,8013975,1.0
91,8015086,1.0
92,8020949,1.0
93,8024196,1.0
94,8012698,1.0
95,8023873,1.0
96,8022836,1.0
97,8019888,1.0
98,8016469,1.0
99,8017991,1.0
100,8024694,1.0
101,8021062,1.0
102,8016072,1.0
103,8022110,1.0
104,8013521,1.0
105,8019296,1.0
106,8011268,1.0
107,8015636,1.0
108,8013867,1.0
109,8017939,1.0
110,8016986,1.0
111,8018759,1.0
112,8023615,1.0
113,8017493,1.0
114,8023973,1.0
115,8018942,1.0
116,8014282,1.0
117,8016378,1.0
118,8018355,1.0
119,8017430,1.0
120,8023386,1.0
121,8012224,1.0
122,8014156,1.0
123,8015633,1.0
124,8023656,1.0
125,8016287,1.0
126,8015122,1.0
127,8010607,1.0
128,8022202,1.0
129,8021273,1.0
130,8014256,1.0
131,8024781,1.0
132,8015653,1.0
133,8017554,1.0
134,8022316,1.0
135,8010941,1.0
136,8017516,1.0
137,8020634,1.0
138,8011893,1.0
139,8010288,1.0
140,8012184,1.0
141,8011658,1.0
142,8022000,1.0
143,8018304,1.0
144,8023370,1.0
145,8017797,1.0
146,8024424,1.0
147,8013596,1.0
148,8019901,1.0
149,8011933,1.0
150,8017309,1.0
151,8012947,1.0
152,8014277,1.0
153,8019385,1.0
154,8013461,1.0
155,8010828,1.0
156,8014095,1.0
157,8010097,1.0
158,8010865,1.0
159,8023279,1.0
160,8013582,1.0
161,8018075,1.0
162,8015255,1.0
163,8016782,1.0
164,8012370,1.0
165,8023466,1.0
166,8023028,1.0
167,8014972,1.0
168,8012904,1.0
169,8018701,1.0
170,8012297,1.0
171,8022142,1.0
172,8013154,1.0
173,8019992,1.0
174,8015584,1.0
175,8018113,1.0
176,8013565,1.0
177,8020739,1.0
178,8013010,1.0
179,8010817,1.0
180,8021738,1.0
181,8014929,1.0
182,8013200,1.0
183,8010026,1.0
184,8023215,1.0
185,8015677,1.0
186,8014724,1.0
187,8020278,1.0
188,8021388,1.0
189,8020337,1.0
190,8022556,1.0
191,8023924,1.0
192,8014858,1.0
193,8019050,1.0
194,8019844,1.0
195,8015696,1.0
196,8013536,1.0
197,8014151,1.0
198,8012501,1.0
199,8017254,1.0
200,8013102,1.0
201,8015137,1.0
202,8015919,1.0
203,8023955,1.0
204,8021711,1.0
205,8022926,1.0
206,8019725,1.0
207,8013122,1.0
208,8023226,1.0
209,8014347,1.0
210,8014291,1.0
211,8024911,1.0
212,8014566,1.0
213,8018625,1.0
214,8016336,1.0
215,8011488,1.0
216,8019987,1.0
217,8012104,1.0
218,8016532,1.0
219,8023926,1.0
220,8023641,1.0
221,8020160,1.0
222,8024769,1.0
223,8015076,1.0
224,8015447,1.0
225,8021009,1.0
226,8013726,1.0
227,8020122,1.0
228,8015129,1.0
229,8014479,1.0
230,8016430,1.0
231,8015967,1.0
232,8023430,1.0
233,8016340,1.0
234,8011539,1.0
235,8023166,1.0
236,8015877,1.0
237,8011889,1.0
238,8022521,1.0
239,8017931,1.0
240,8010244,1.0
241,8014787,1.0
242,8018810,1.0
243,8022267,1.0
244,8022257,1.0
245,8024812,1.0
246,8021386,1.0
247,8015360,1.0
248,8010462,1.0
249,8016252,1.0
250,8024963,1.0
251,8013841,1.0
252,8023509,1.0
253,8012272,1.0
254,8016977,1.0
255,8018624,1.0
256,8012791,1.0
257,8024329,1.0
258,8024602,1.0
259,8017982,1.0
260,8022282,1.0
261,8016848,1.0
262,8011137,1.0
263,8015153,1.0
264,8020325,1.0
265,8013792,1.0
266,8024279,1.0
267,8015409,1.0
268,8021222,1.0
269,8018902,1.0
270,8013061,1.0
271,8024817,1.0
272,8012647,1.0
273,8023862,1.0
274,8010049,1.0
275,8019377,1.0
276,8018216,1.0
277,8021621,1.0
278,8020275,1.0
279,8012957,1.0
280,8022226,1.0
281,8013741,1.0
282,8010958,1.0
283,8012714,1.0
284,8014862,1.0
